Jaar week,AgeGroup,Hospitalisations
13 jul. 2020 t/m 19 jul. 2020 (Week 29),60–79,0.333
13 jul. 2020 t/m 19 jul. 2020 (Week 29),40–59,0.235
20 jul. 2020 t/m 26 jul. 2020 (Week 30),80–++,0.193
20 jul. 2020 t/m 26 jul. 2020 (Week 30),60–79,0.22
20 jul. 2020 t/m 26 jul. 2020 (Week 30),20–39,0.147
20 jul. 2020 t/m 26 jul. 2020 (Week 30),40–59,0.373
20 jul. 2020 t/m 26 jul. 2020 (Week 30),06–19,0.02
20 jul. 2020 t/m 26 jul. 2020 (Week 30),00–05,0.047
27 jul. 2020 t/m 2 aug. 2020 (Week 31),00–05,0.021
27 jul. 2020 t/m 2 aug. 2020 (Week 31),40–59,0.332
27 jul. 2020 t/m 2 aug. 2020 (Week 31),60–79,0.348
27 jul. 2020 t/m 2 aug. 2020 (Week 31),80–++,0.16
27 jul. 2020 t/m 2 aug. 2020 (Week 31),20–39,0.112
27 jul. 2020 t/m 2 aug. 2020 (Week 31),06–19,0.027
3 aug. 2020 t/m 9 aug. 2020 (Week 32),20–39,0.175
3 aug. 2020 t/m 9 aug. 2020 (Week 32),06–19,0.034
3 aug. 2020 t/m 9 aug. 2020 (Week 32),00–05,0.039
3 aug. 2020 t/m 9 aug. 2020 (Week 32),80–++,0.194
3 aug. 2020 t/m 9 aug. 2020 (Week 32),40–59,0.257
3 aug. 2020 t/m 9 aug. 2020 (Week 32),60–79,0.301
10 aug. 2020 t/m 16 aug. 2020 (Week 33),00–05,0.005
10 aug. 2020 t/m 16 aug. 2020 (Week 33),06–19,0.018
10 aug. 2020 t/m 16 aug. 2020 (Week 33),80–++,0.241
10 aug. 2020 t/m 16 aug. 2020 (Week 33),20–39,0.055
10 aug. 2020 t/m 16 aug. 2020 (Week 33),60–79,0.395
10 aug. 2020 t/m 16 aug. 2020 (Week 33),40–59,0.286
17 aug. 2020 t/m 23 aug. 2020 (Week 34),20–39,0.121
17 aug. 2020 t/m 23 aug. 2020 (Week 34),06–19,0.04
17 aug. 2020 t/m 23 aug. 2020 (Week 34),00–05,0.04
17 aug. 2020 t/m 23 aug. 2020 (Week 34),80–++,0.201
17 aug. 2020 t/m 23 aug. 2020 (Week 34),60–79,0.342
17 aug. 2020 t/m 23 aug. 2020 (Week 34),40–59,0.256
24 aug. 2020 t/m 30 aug. 2020 (Week 35),40–59,0.201
24 aug. 2020 t/m 30 aug. 2020 (Week 35),60–79,0.383
24 aug. 2020 t/m 30 aug. 2020 (Week 35),80–++,0.273
24 aug. 2020 t/m 30 aug. 2020 (Week 35),20–39,0.104
24 aug. 2020 t/m 30 aug. 2020 (Week 35),06–19,0.019
24 aug. 2020 t/m 30 aug. 2020 (Week 35),00–05,0.019
31 aug. 2020 t/m 6 sep. 2020 (Week 36),40–59,0.191
31 aug. 2020 t/m 6 sep. 2020 (Week 36),60–79,0.352
31 aug. 2020 t/m 6 sep. 2020 (Week 36),06–19,0.005
31 aug. 2020 t/m 6 sep. 2020 (Week 36),00–05,0.045
31 aug. 2020 t/m 6 sep. 2020 (Week 36),80–++,0.312
31 aug. 2020 t/m 6 sep. 2020 (Week 36),20–39,0.095
7 sep. 2020 t/m 13 sep. 2020 (Week 37),80–++,0.29
7 sep. 2020 t/m 13 sep. 2020 (Week 37),06–19,0.028
7 sep. 2020 t/m 13 sep. 2020 (Week 37),00–05,0.039
7 sep. 2020 t/m 13 sep. 2020 (Week 37),40–59,0.205
7 sep. 2020 t/m 13 sep. 2020 (Week 37),20–39,0.117
7 sep. 2020 t/m 13 sep. 2020 (Week 37),60–79,0.322
14 sep. 2020 t/m 20 sep. 2020 (Week 38),06–19,0.014
14 sep. 2020 t/m 20 sep. 2020 (Week 38),00–05,0.03
14 sep. 2020 t/m 20 sep. 2020 (Week 38),80–++,0.3
14 sep. 2020 t/m 20 sep. 2020 (Week 38),60–79,0.37
14 sep. 2020 t/m 20 sep. 2020 (Week 38),40–59,0.207
14 sep. 2020 t/m 20 sep. 2020 (Week 38),20–39,0.08
21 sep. 2020 t/m 27 sep. 2020 (Week 39),60–79,0.376
21 sep. 2020 t/m 27 sep. 2020 (Week 39),00–05,0.024
21 sep. 2020 t/m 27 sep. 2020 (Week 39),40–59,0.177
21 sep. 2020 t/m 27 sep. 2020 (Week 39),80–++,0.346
21 sep. 2020 t/m 27 sep. 2020 (Week 39),20–39,0.071
21 sep. 2020 t/m 27 sep. 2020 (Week 39),06–19,0.006
28 sep. 2020 t/m 4 okt. 2020 (Week 40),06–19,0.011
28 sep. 2020 t/m 4 okt. 2020 (Week 40),00–05,0.014
28 sep. 2020 t/m 4 okt. 2020 (Week 40),20–39,0.061
28 sep. 2020 t/m 4 okt. 2020 (Week 40),40–59,0.2
28 sep. 2020 t/m 4 okt. 2020 (Week 40),80–++,0.319
28 sep. 2020 t/m 4 okt. 2020 (Week 40),60–79,0.395
5 okt. 2020 t/m 11 okt. 2020 (Week 41),00–05,0.024
5 okt. 2020 t/m 11 okt. 2020 (Week 41),80–++,0.337
5 okt. 2020 t/m 11 okt. 2020 (Week 41),60–79,0.394
5 okt. 2020 t/m 11 okt. 2020 (Week 41),40–59,0.176
5 okt. 2020 t/m 11 okt. 2020 (Week 41),20–39,0.062
5 okt. 2020 t/m 11 okt. 2020 (Week 41),06–19,0.008
12 okt. 2020 t/m 18 okt. 2020 (Week 42),20–39,0.071
12 okt. 2020 t/m 18 okt. 2020 (Week 42),06–19,0.007
12 okt. 2020 t/m 18 okt. 2020 (Week 42),00–05,0.02
12 okt. 2020 t/m 18 okt. 2020 (Week 42),80–++,0.31
12 okt. 2020 t/m 18 okt. 2020 (Week 42),60–79,0.397
12 okt. 2020 t/m 18 okt. 2020 (Week 42),40–59,0.195
19 okt. 2020 t/m 25 okt. 2020 (Week 43),40–59,0.204
19 okt. 2020 t/m 25 okt. 2020 (Week 43),60–79,0.391
19 okt. 2020 t/m 25 okt. 2020 (Week 43),80–++,0.307
19 okt. 2020 t/m 25 okt. 2020 (Week 43),20–39,0.07
19 okt. 2020 t/m 25 okt. 2020 (Week 43),06–19,0.006
19 okt. 2020 t/m 25 okt. 2020 (Week 43),00–05,0.023
26 okt. 2020 t/m 1 nov. 2020 (Week 44),20–39,0.055
26 okt. 2020 t/m 1 nov. 2020 (Week 44),40–59,0.214
26 okt. 2020 t/m 1 nov. 2020 (Week 44),06–19,0.005
26 okt. 2020 t/m 1 nov. 2020 (Week 44),00–05,0.015
26 okt. 2020 t/m 1 nov. 2020 (Week 44),80–++,0.271
26 okt. 2020 t/m 1 nov. 2020 (Week 44),60–79,0.441
2 nov. 2020 t/m 8 nov. 2020 (Week 45),80–++,0.319
2 nov. 2020 t/m 8 nov. 2020 (Week 45),00–05,0.009
2 nov. 2020 t/m 8 nov. 2020 (Week 45),06–19,0.008
2 nov. 2020 t/m 8 nov. 2020 (Week 45),40–59,0.196
2 nov. 2020 t/m 8 nov. 2020 (Week 45),20–39,0.051
2 nov. 2020 t/m 8 nov. 2020 (Week 45),60–79,0.417
9 nov. 2020 t/m 15 nov. 2020 (Week 46),00–05,0.009
9 nov. 2020 t/m 15 nov. 2020 (Week 46),80–++,0.331
9 nov. 2020 t/m 15 nov. 2020 (Week 46),60–79,0.415
9 nov. 2020 t/m 15 nov. 2020 (Week 46),40–59,0.177
9 nov. 2020 t/m 15 nov. 2020 (Week 46),20–39,0.06
9 nov. 2020 t/m 15 nov. 2020 (Week 46),06–19,0.007
16 nov. 2020 t/m 22 nov. 2020 (Week 47),60–79,0.367
16 nov. 2020 t/m 22 nov. 2020 (Week 47),00–05,0.009
16 nov. 2020 t/m 22 nov. 2020 (Week 47),40–59,0.163
16 nov. 2020 t/m 22 nov. 2020 (Week 47),80–++,0.381
16 nov. 2020 t/m 22 nov. 2020 (Week 47),20–39,0.071
16 nov. 2020 t/m 22 nov. 2020 (Week 47),06–19,0.009
23 nov. 2020 t/m 29 nov. 2020 (Week 48),20–39,0.069
23 nov. 2020 t/m 29 nov. 2020 (Week 48),06–19,0.016
23 nov. 2020 t/m 29 nov. 2020 (Week 48),00–05,0.013
23 nov. 2020 t/m 29 nov. 2020 (Week 48),40–59,0.146
23 nov. 2020 t/m 29 nov. 2020 (Week 48),80–++,0.411
23 nov. 2020 t/m 29 nov. 2020 (Week 48),60–79,0.345
30 nov. 2020 t/m 6 dec. 2020 (Week 49),00–05,0.008
30 nov. 2020 t/m 6 dec. 2020 (Week 49),06–19,0.024
30 nov. 2020 t/m 6 dec. 2020 (Week 49),80–++,0.422
30 nov. 2020 t/m 6 dec. 2020 (Week 49),20–39,0.062
30 nov. 2020 t/m 6 dec. 2020 (Week 49),60–79,0.326
30 nov. 2020 t/m 6 dec. 2020 (Week 49),40–59,0.159
7 dec. 2020 t/m 13 dec. 2020 (Week 50),20–39,0.061
7 dec. 2020 t/m 13 dec. 2020 (Week 50),06–19,0.017
7 dec. 2020 t/m 13 dec. 2020 (Week 50),00–05,0.01
7 dec. 2020 t/m 13 dec. 2020 (Week 50),80–++,0.446
7 dec. 2020 t/m 13 dec. 2020 (Week 50),60–79,0.339
7 dec. 2020 t/m 13 dec. 2020 (Week 50),40–59,0.126
14 dec. 2020 t/m 20 dec. 2020 (Week 51),40–59,0.151
14 dec. 2020 t/m 20 dec. 2020 (Week 51),60–79,0.359
14 dec. 2020 t/m 20 dec. 2020 (Week 51),80–++,0.419
14 dec. 2020 t/m 20 dec. 2020 (Week 51),20–39,0.05
14 dec. 2020 t/m 20 dec. 2020 (Week 51),06–19,0.011
14 dec. 2020 t/m 20 dec. 2020 (Week 51),00–05,0.011
21 dec. 2020 t/m 27 dec. 2020 (Week 52),20–39,0.038
21 dec. 2020 t/m 27 dec. 2020 (Week 52),06–19,0.007
21 dec. 2020 t/m 27 dec. 2020 (Week 52),80–++,0.434
21 dec. 2020 t/m 27 dec. 2020 (Week 52),60–79,0.365
21 dec. 2020 t/m 27 dec. 2020 (Week 52),40–59,0.145
21 dec. 2020 t/m 27 dec. 2020 (Week 52),00–05,0.011
28 dec. 2020 t/m 3 jan. 2021 (Week 53),00–05,0.004
28 dec. 2020 t/m 3 jan. 2021 (Week 53),06–19,0.006
28 dec. 2020 t/m 3 jan. 2021 (Week 53),20–39,0.045
28 dec. 2020 t/m 3 jan. 2021 (Week 53),60–79,0.357
28 dec. 2020 t/m 3 jan. 2021 (Week 53),80–++,0.443
28 dec. 2020 t/m 3 jan. 2021 (Week 53),40–59,0.145
4 jan. 2021 t/m 10 jan. 2021 (Week 1),00–05,0.007
4 jan. 2021 t/m 10 jan. 2021 (Week 1),20–39,0.055
4 jan. 2021 t/m 10 jan. 2021 (Week 1),06–19,0.009
4 jan. 2021 t/m 10 jan. 2021 (Week 1),80–++,0.424
4 jan. 2021 t/m 10 jan. 2021 (Week 1),60–79,0.357
4 jan. 2021 t/m 10 jan. 2021 (Week 1),40–59,0.148
11 jan. 2021 t/m 17 jan. 2021 (Week 2),00–05,0.012
11 jan. 2021 t/m 17 jan. 2021 (Week 2),06–19,0.013
11 jan. 2021 t/m 17 jan. 2021 (Week 2),80–++,0.379
11 jan. 2021 t/m 17 jan. 2021 (Week 2),60–79,0.367
11 jan. 2021 t/m 17 jan. 2021 (Week 2),40–59,0.16
11 jan. 2021 t/m 17 jan. 2021 (Week 2),20–39,0.068
18 jan. 2021 t/m 24 jan. 2021 (Week 3),40–59,0.161
18 jan. 2021 t/m 24 jan. 2021 (Week 3),20–39,0.064
18 jan. 2021 t/m 24 jan. 2021 (Week 3),06–19,0.006
18 jan. 2021 t/m 24 jan. 2021 (Week 3),60–79,0.352
18 jan. 2021 t/m 24 jan. 2021 (Week 3),00–05,0.014
18 jan. 2021 t/m 24 jan. 2021 (Week 3),80–++,0.403
25 jan. 2021 t/m 31 jan. 2021 (Week 4),06–19,0.013
25 jan. 2021 t/m 31 jan. 2021 (Week 4),00–05,0.018
25 jan. 2021 t/m 31 jan. 2021 (Week 4),20–39,0.068
25 jan. 2021 t/m 31 jan. 2021 (Week 4),80–++,0.39
25 jan. 2021 t/m 31 jan. 2021 (Week 4),60–79,0.348
25 jan. 2021 t/m 31 jan. 2021 (Week 4),40–59,0.162
1 feb. 2021 t/m 7 feb. 2021 (Week 5),00–05,0.006
1 feb. 2021 t/m 7 feb. 2021 (Week 5),40–59,0.159
1 feb. 2021 t/m 7 feb. 2021 (Week 5),20–39,0.083
1 feb. 2021 t/m 7 feb. 2021 (Week 5),06–19,0.017
1 feb. 2021 t/m 7 feb. 2021 (Week 5),80–++,0.353
1 feb. 2021 t/m 7 feb. 2021 (Week 5),60–79,0.381
8 feb. 2021 t/m 14 feb. 2021 (Week 6),00–05,0.01
8 feb. 2021 t/m 14 feb. 2021 (Week 6),80–++,0.31
8 feb. 2021 t/m 14 feb. 2021 (Week 6),60–79,0.379
8 feb. 2021 t/m 14 feb. 2021 (Week 6),40–59,0.203
8 feb. 2021 t/m 14 feb. 2021 (Week 6),20–39,0.087
8 feb. 2021 t/m 14 feb. 2021 (Week 6),06–19,0.011
15 feb. 2021 t/m 21 feb. 2021 (Week 7),20–39,0.075
15 feb. 2021 t/m 21 feb. 2021 (Week 7),60–79,0.362
15 feb. 2021 t/m 21 feb. 2021 (Week 7),06–19,0.007
15 feb. 2021 t/m 21 feb. 2021 (Week 7),40–59,0.214
15 feb. 2021 t/m 21 feb. 2021 (Week 7),80–++,0.326
15 feb. 2021 t/m 21 feb. 2021 (Week 7),00–05,0.016
22 feb. 2021 t/m 28 feb. 2021 (Week 8),00–05,0.014
22 feb. 2021 t/m 28 feb. 2021 (Week 8),20–39,0.079
22 feb. 2021 t/m 28 feb. 2021 (Week 8),06–19,0.005
22 feb. 2021 t/m 28 feb. 2021 (Week 8),80–++,0.259
22 feb. 2021 t/m 28 feb. 2021 (Week 8),60–79,0.39
22 feb. 2021 t/m 28 feb. 2021 (Week 8),40–59,0.253
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),00–05,0.017
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),80–++,0.254
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),60–79,0.407
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),40–59,0.242
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),20–39,0.071
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),06–19,0.009
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),06–19,0.011
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),00–05,0.019
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),80–++,0.271
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),60–79,0.395
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),40–59,0.238
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),20–39,0.065
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),40–59,0.285
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),20–39,0.09
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),60–79,0.375
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),06–19,0.011
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),80–++,0.227
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),00–05,0.011
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),06–19,0.008
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),00–05,0.011
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),20–39,0.105
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),80–++,0.216
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),40–59,0.283
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),60–79,0.377
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),00–05,0.011
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),40–59,0.284
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),20–39,0.086
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),06–19,0.009
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),80–++,0.206
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),60–79,0.405
5 apr. 2021 t/m 11 apr. 2021 (Week 14),80–++,0.179
5 apr. 2021 t/m 11 apr. 2021 (Week 14),60–79,0.437
5 apr. 2021 t/m 11 apr. 2021 (Week 14),40–59,0.284
5 apr. 2021 t/m 11 apr. 2021 (Week 14),20–39,0.089
5 apr. 2021 t/m 11 apr. 2021 (Week 14),06–19,0.007
5 apr. 2021 t/m 11 apr. 2021 (Week 14),00–05,0.004
12 apr. 2021 t/m 18 apr. 2021 (Week 15),40–59,0.287
12 apr. 2021 t/m 18 apr. 2021 (Week 15),20–39,0.08
12 apr. 2021 t/m 18 apr. 2021 (Week 15),60–79,0.4
12 apr. 2021 t/m 18 apr. 2021 (Week 15),06–19,0.007
12 apr. 2021 t/m 18 apr. 2021 (Week 15),80–++,0.215
12 apr. 2021 t/m 18 apr. 2021 (Week 15),00–05,0.01
19 apr. 2021 t/m 25 apr. 2021 (Week 16),06–19,0.008
19 apr. 2021 t/m 25 apr. 2021 (Week 16),00–05,0.013
19 apr. 2021 t/m 25 apr. 2021 (Week 16),20–39,0.101
19 apr. 2021 t/m 25 apr. 2021 (Week 16),80–++,0.157
19 apr. 2021 t/m 25 apr. 2021 (Week 16),60–79,0.437
19 apr. 2021 t/m 25 apr. 2021 (Week 16),40–59,0.285
26 apr. 2021 t/m 2 mei 2021 (Week 17),00–05,0.016
26 apr. 2021 t/m 2 mei 2021 (Week 17),20–39,0.114
